Date,si_news
2024-01-03,-0.142
2024-01-04,-0.103
2024-01-05,-0.094
2024-01-06,-0.333
2024-01-07,-0.102
2024-01-08,-0.066
2024-01-09,-0.132
2024-01-11,-0.158
2024-01-12,-0.267
2024-01-14,-0.12
2024-01-15,-0.182
2024-01-16,-0.122
2024-01-17,-0.149
2024-01-18,-0.076
2024-01-19,-0.131
2024-01-21,-0.152
2024-01-22,-0.102
2024-01-23,-0.116
2024-01-24,0.007
2024-01-25,-0.092
2024-01-26,-0.025
2024-01-28,-0.125
2024-01-29,-0.248
2024-01-30,0.015
2024-01-31,-0.133
2024-02-01,-0.118
2024-02-02,-0.006
2024-02-04,-0.08
2024-02-05,-0.068
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,-0.034
2024-02-09,-0.055
2024-02-10,-0.067
2024-02-11,-0.24
2024-02-12,0.099
2024-02-13,0.066
2024-02-14,0.013
2024-02-15,-0.018
2024-02-16,-0.109
2024-02-17,-0.167
2024-02-18,-0.297
2024-02-19,-0.162
2024-02-20,-0.067
2024-02-21,-0.056
2024-02-22,0.027
2024-02-23,-0.043
2024-02-24,1.0
2024-02-25,0.0
2024-02-26,-0.062
2024-02-27,-0.062
2024-02-28,0.073
2024-02-29,0.011
2024-03-01,-0.149
2024-03-03,-0.196
2024-03-04,-0.028
2024-03-05,-0.196
2024-03-06,-0.237
2024-03-07,-0.209
2024-03-08,-0.103
2024-03-09,-0.167
2024-03-10,-0.226
2024-03-11,-0.253
2024-03-12,-0.07
2024-03-13,-0.006
2024-03-14,-0.161
2024-03-15,-0.075
2024-03-16,-1.0
2024-03-17,-0.088
2024-03-18,-0.054
2024-03-19,0.026
2024-03-20,-0.053
2024-03-21,0.005
2024-03-22,-0.072
2024-03-23,-0.125
2024-03-24,-0.08
2024-03-25,0.016
2024-03-26,0.005
2024-03-27,0.007
2024-03-28,0.006
2024-03-29,0.0
2024-03-31,-0.219
2024-04-01,-0.107
2024-04-02,-0.008
2024-04-03,0.099
2024-04-04,0.052
2024-04-05,-0.01
2024-04-06,0.0
2024-04-07,-0.241
2024-04-08,-0.104
2024-04-09,-0.11
2024-04-10,-0.057
2024-04-11,-0.122
2024-04-12,-0.114
2024-04-14,-0.256
2024-04-15,-0.227
2024-04-16,0.026
2024-04-17,-0.051
2024-04-18,-0.036
2024-04-19,-0.119
2024-04-20,0.0
2024-04-21,-0.167
2024-04-22,0.037
2024-04-23,0.052
2024-04-24,-0.12
2024-04-25,-0.043
2024-04-26,0.07
2024-04-27,0.0
2024-04-28,-0.114
2024-04-29,-0.036
2024-04-30,-0.072
2024-05-02,0.057
2024-05-03,-0.079
2024-05-04,-0.143
2024-05-05,-0.4
2024-05-06,-0.066
2024-05-07,-0.091
2024-05-08,-0.01
2024-05-09,-0.13
2024-05-10,0.015
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,-0.129
2024-05-14,-0.089
2024-05-15,0.027
2024-05-16,-0.034
2024-05-17,-0.056
2024-05-18,0.0
2024-05-19,-0.294
2024-05-20,-0.033
2024-05-21,-0.075
2024-05-22,-0.12
2024-05-23,0.067
2024-05-24,-0.14
2024-05-26,-0.079
2024-05-27,0.031
2024-05-28,-0.018
2024-05-29,-0.062
2024-05-30,-0.284
2024-05-31,-0.087
2024-06-01,0.0
2024-06-02,-0.171
2024-06-03,-0.042
2024-06-04,-0.138
2024-06-05,-0.012
2024-06-06,-0.106
2024-06-07,-0.079
2024-06-09,0.008
2024-06-10,-0.008
2024-06-11,-0.036
2024-06-12,0.0
2024-06-13,-0.102
2024-06-14,-0.138
2024-06-15,0.0
2024-06-16,-0.167
2024-06-17,-0.05
2024-06-18,-0.066
2024-06-19,-0.167
2024-06-20,-0.138
2024-06-21,-0.202
2024-06-22,0.0
2024-06-23,-0.125
2024-06-24,-0.037
2024-06-25,-0.079
2024-06-26,-0.076
2024-06-27,-0.089
2024-06-28,-0.122
2024-06-30,0.045
2024-07-01,0.0
2024-07-02,-0.041
2024-07-03,0.025
2024-07-04,0.073
2024-07-05,0.023
2024-07-07,-0.188
2024-07-08,-0.092
2024-07-09,-0.13
2024-07-10,0.048
2024-07-11,0.08
2024-07-12,-0.12
2024-07-14,-0.071
2024-07-15,-0.194
2024-07-16,-0.099
2024-07-17,-0.025
2024-07-18,-0.042
2024-07-19,-0.367
2024-07-21,-0.034
2024-07-22,-0.222
2024-07-23,0.041
2024-07-24,0.007
2024-07-25,-0.202
2024-07-26,-0.139
2024-07-27,0.0
2024-07-28,0.038
2024-07-29,0.0
2024-07-30,0.042
2024-07-31,0.138
2024-08-01,-0.184
2024-08-02,-0.264
2024-08-03,-0.2
2024-08-04,0.0
2024-08-05,-0.265
2024-08-06,-0.067
2024-08-07,-0.071
2024-08-08,0.109
2024-08-09,-0.132
2024-08-11,-0.5
2024-08-12,-0.051
2024-08-13,0.06
2024-08-14,0.026
2024-08-15,0.09
2024-08-16,0.09
2024-08-17,-0.348
2024-08-18,-0.348
2024-08-19,-0.091
2024-08-20,-0.141
2024-08-21,-0.105
2024-08-22,0.079
2024-08-23,0.027
2024-08-24,-0.32
2024-08-25,-0.069
2024-08-26,-0.086
2024-08-27,-0.207
2024-08-28,-0.108
2024-08-29,-0.016
2024-08-30,0.01
2024-08-31,0.0
2024-09-01,-0.129
2024-09-02,-0.179
2024-09-03,-0.207
2024-09-04,-0.192
2024-09-05,-0.021
2024-09-06,-0.242
2024-09-09,-0.041
2024-09-10,-0.235
2024-09-11,0.07
2024-09-12,-0.051
