Date,si_x
2021-01-04,0.25
2021-01-05,-0.125
2021-01-06,-0.125
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,-0.2
2021-01-10,-0.15
2021-01-11,-0.5
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,-0.125
2021-01-21,0.077
2021-01-22,0.0
2021-01-23,-0.375
2021-01-24,-0.222
2021-01-25,-0.125
2021-01-26,-0.125
2021-01-27,-0.25
2021-01-28,-0.111
2021-01-29,-0.125
2021-01-30,-0.111
2021-01-31,0.0
2021-02-01,-0.05
2021-02-02,0.083
2021-02-03,-0.077
2021-02-04,0.125
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,-0.111
2021-02-12,-0.158
2021-02-13,-0.053
2021-02-14,-0.25
2021-02-15,-0.125
2021-02-16,0.0
2021-02-17,-0.125
2021-02-18,-0.667
2021-02-19,0.083
2021-02-20,-0.095
2021-02-21,-0.056
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,-0.25
2021-02-26,0.0
2021-02-27,0.091
2021-02-28,-0.15
2021-03-01,0.0
2021-03-02,-0.111
2021-03-07,-0.133
2021-03-08,-0.125
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,-0.111
2021-03-12,0.0
2021-03-13,0.091
2021-03-14,0.0
2021-03-15,-0.125
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.077
2021-03-19,-0.083
2021-03-20,0.0
2021-03-21,0.125
2021-03-22,-0.125
2021-03-23,0.0
2021-03-24,-0.143
2021-03-30,-0.125
2021-03-31,-0.062
2021-04-01,0.0
2021-04-02,0.125
2021-04-03,0.0
2021-04-04,-0.2
2021-04-05,-0.1
2021-04-06,0.1
2021-04-07,0.0
2021-04-08,-0.231
2021-04-09,0.0
2021-04-10,0.0
2021-04-11,0.0
2021-04-12,-0.182
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,0.0
2021-04-16,-0.143
2021-04-17,-0.25
2021-04-18,0.0
2021-04-19,-0.125
2021-04-24,0.083
2021-04-25,0.05
2021-04-26,0.0
2021-04-27,-0.062
2021-04-28,0.125
2021-04-29,0.0
2021-04-30,-0.125
2021-05-01,0.0
2021-05-02,-0.375
2021-05-03,0.059
2021-05-04,-0.143
2021-05-05,-0.111
2021-05-06,-0.125
2021-05-07,-0.375
2021-05-13,-0.1
2021-05-14,0.0
2021-05-15,0.111
2021-05-16,-0.111
2021-05-17,-0.182
2021-05-18,-0.125
