Date,SP_Close,Open,Volume,High,Low,Adj Close,Gdp,Zew,Gfk,Ifo,Interest,Inf,Co_usd,Oil_usd,Gold_usd,Bond_2,Bond_10,Eu_usd,Close,SMA_20,EMA_20,RSI_14,Middle_Band,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD,MACD_Signal,Low_14,High_14,%k,%d,CMF
2020-05-29,3271.1201171875,3270.449951171875,5007530000.0,3272.169921875,3220.260009765625,3271.1201171875,882.046,28.2,2.3,75.2,0.0,1.0,2.4265,37.84,1726.3,-0.656,-0.447,1.1101,11586.849609375,10993.741015625,11102.225067816664,65.59958536757037,10993.741015625,11844.831743371908,10142.650287878094,11292.833297518035,11009.216667111536,283.6166304064991,205.1888948853818,10337.01953125,11781.1298828125,86.54671554515951,95.51557184838656,418.03697421741936
2020-06-02,3294.610107421875,3288.260009765625,4438940000.0,3302.72998046875,3284.530029296875,3294.610107421875,882.046,28.2,2.3,75.2,0.0,1.0,2.4965,39.6,1728.59998,-0.65,-0.415,1.1185,12021.2802734375,11071.4650390625,11189.754135018648,70.93064985170574,11071.4650390625,12000.305593930427,10142.624484194572,11404.902063044106,11084.1843416542,320.7177213899067,228.29466018628682,10337.01953125,12021.2802734375,100.0,95.51557184838656,439.03201145212796
2020-06-03,3306.510009765625,3289.919921875,4414380000.0,3306.840087890625,3286.3701171875,3306.510009765625,882.046,28.2,2.3,75.2,0.0,1.0,2.4895,39.79,1698.15002,-0.636,-0.349,1.1235,12487.3603515625,11159.36005859375,11313.335679451397,81.77508221519078,11159.36005859375,12267.351989124232,10051.368128063266,11571.43410743155,11188.12330535111,383.31080208044114,259.29788856511766,10337.01953125,12487.3603515625,100.0,95.51557184838656,465.8505187288202
2020-06-04,3327.77001953125,3317.3701171875,4535060000.0,3330.77001953125,3317.3701171875,3327.77001953125,882.046,28.2,2.3,75.2,0.0,1.0,2.488,39.94,1714.0,-0.615,-0.324,1.13379,12430.5595703125,11250.57802734375,11419.737954771503,85.95587650735476,11250.57802734375,12462.35072349156,10038.805331195941,11703.60725556708,11280.155621274176,423.4516342929037,292.12863771067487,10465.169921875,12487.3603515625,97.19112599802098,99.06370866600703,514.6484302121603
2020-06-05,3349.159912109375,3323.169921875,4278930000.0,3351.030029296875,3318.139892578125,3349.159912109375,882.046,28.2,2.3,75.2,0.0,1.0,2.542,42.3,1685.05005,-0.597,-0.27,1.12913,12847.6796875,11354.99853515625,11555.73240550755,87.22401143959881,11354.99853515625,12736.541828903682,9973.455241408818,11879.618398941375,11396.268515068681,483.3498838726937,330.37288694307864,11058.8701171875,12847.6796875,100.0,99.06370866600703,533.2490504267901
2020-06-08,3351.280029296875,3340.050048828125,4110030000.0,3352.5400390625,3328.719970703125,3351.280029296875,882.046,28.2,2.3,75.2,0.0,1.0,2.583,40.76,1698.5,-0.617,-0.317,1.1303,12819.58984375,11450.75400390625,11676.09978057826,83.41503410304416,11450.75400390625,12960.359938649499,9941.148069163,12024.229390450395,11501.69972460063,522.5296658497646,368.8042427244159,11065.9296875,12847.6796875,98.42346885084889,98.53819828295667,557.6330417423303
2020-06-09,3360.469970703125,3356.0400390625,4327920000.0,3363.2900390625,3335.43994140625,3360.469970703125,882.046,28.2,2.3,75.2,0.0,1.0,2.601,41.18,1716.0,-0.613,-0.31,1.13344,12617.990234375,11540.40400390625,11765.803633320807,77.35476334530111,11540.40400390625,13105.479454851406,9975.328552961093,12115.577212592643,11584.387910509842,531.1893020828011,401.28125459609294,11065.9296875,12847.6796875,87.10877209905992,95.17741364996965,584.7711327903415
2020-06-10,3333.68994140625,3370.340087890625,4880540000.0,3381.010009765625,3326.43994140625,3333.68994140625,882.046,28.2,2.3,75.2,0.0,1.0,2.677,41.73,1734.69995,-0.616,-0.331,1.13722,12530.16015625,11625.93701171875,11838.599492647398,73.67433593364274,11625.93701171875,13211.963977289824,10039.910046147676,12179.359203924545,11654.445113898002,524.9140900265429,426.0078216821829,11065.9296875,12847.6796875,82.17934439455591,89.23719511482163,590.3556840627946
2020-06-11,3380.35009765625,3355.4599609375,3772250000.0,3387.889892578125,3355.4599609375,3380.35009765625,882.046,28.2,2.3,75.2,0.0,1.0,2.574,38.55,1729.84998,-0.65,-0.415,1.12936,11970.2900390625,11697.318505859375,11851.141449448836,64.30360688168349,11697.318505859375,13204.614530390505,10190.022481328246,12147.194717022692,11677.841034280556,469.3536827421358,434.6769938941735,11073.8701171875,12847.6796875,50.536423800953656,73.27484676485655,598.6874899531388
2020-06-12,3373.429931640625,3372.949951171875,3438730000.0,3387.239990234375,3363.35009765625,3373.429931640625,882.046,28.2,2.3,75.2,0.0,1.0,2.6195,38.9,1730.59998,-0.674,-0.445,1.12567,11949.2802734375,11777.93154296875,11860.488004114424,63.78871799162974,11777.93154296875,13144.81993393121,10411.04315200629,12116.74634108651,11697.94764458848,418.79869649803004,431.50133441494484,11391.2802734375,12847.6796875,38.31366551044589,57.009811235318544,600.9309600717036
