trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
81,LSTM_DA,517.0849609375,397.17095947265625,0.9042643904685974,257,1,4,256,0.0016271786252053,200
82,LSTM_DA,583.5781860351562,475.43743896484375,0.8780595660209656,255,1,4,256,0.0016849339953806,196
83,LSTM_DA,583.3818359375,475.9294738769531,0.8781416416168213,276,1,4,256,0.0014262787780282,188
84,LSTM_DA,658.1716918945312,549.6077270507812,0.8448942303657532,237,1,4,256,0.0062206505781165,199
85,LSTM_DA,703.1298828125,536.9746704101562,0.8229806423187256,286,1,4,256,0.0024764195125823,147
86,LSTM_DA,1366.79248046875,1267.8807373046875,0.331109881401062,257,1,4,64,0.0008378520111169,82
87,LSTM_DA,878.8232421875,671.5341186523438,0.7230156064033508,63,1,7,256,0.0018219436645499,172
88,LSTM_DA,850.8356323242188,689.1544799804688,0.7407964468002319,267,1,4,256,0.0003677478406555,106
89,LSTM_DA,1574.7667236328125,1173.6461181640625,0.100731611251831,246,1,28,32,0.0010917414631303,138
90,LSTM_DA,969.6300659179688,779.1135864257812,0.6633630990982056,213,1,4,256,0.0001860696985443,180
91,LSTM_DA,568.315673828125,469.8372192382813,0.8843544721603394,244,1,4,256,0.0013141434734491,156
92,LSTM_DA,825.4730224609375,696.691162109375,0.7560193538665771,234,1,4,256,0.0015309172070578,93
93,LSTM_DA,857.1447143554688,670.1084594726562,0.7369381189346313,223,1,4,256,0.0031740644410357,151
94,LSTM_DA,762.2785034179688,639.3532104492188,0.7919455766677856,274,1,4,256,0.0009652627459428,194
95,LSTM_DA,1004.2852783203124,807.1942749023438,0.6388697624206543,262,1,4,64,0.0022183678874855,122
96,LSTM_DA,612.904052734375,485.8464965820313,0.8652783632278442,281,1,7,256,0.0017229420290195,159
97,LSTM_DA,639.5958251953125,499.7944946289063,0.8528860211372375,293,1,14,256,0.0007092521166155,144
98,LSTM_DA,851.184814453125,645.1624755859375,0.7405836582183838,247,1,4,128,0.0026715332370433,113
99,LSTM_DA,901.964111328125,798.0353393554688,0.7060133814811707,271,1,21,256,0.0005656593016527,98
0,LSTM_AA,1535.9561767578125,1166.07666015625,0.1552907824516296,63,1,4,32,0.0036644063475472,125
1,LSTM_AA,938.0272216796876,685.7297973632812,0.6809287071228027,210,2,28,256,0.0001394634992245,125
2,LSTM_AA,2581.623291015625,2280.20849609375,-1.3967812061309814,150,3,14,256,0.0318479458815981,196
3,LSTM_AA,984.2068481445312,739.4630126953125,0.648739218711853,206,1,28,32,0.0004587319448636,69
4,LSTM_AA,3863.65771484375,3535.957763671875,-4.413200855255127,137,3,28,256,0.0944365067546402,101
5,LSTM_AA,1472.929443359375,1164.7838134765625,0.2231923937797546,139,3,4,256,0.0028234569774399,141
6,LSTM_AA,970.1178588867188,810.4081420898438,0.6599067449569702,224,1,21,32,0.0032343120730001,162
7,LSTM_AA,667.419677734375,524.0459594726562,0.8402465581893921,125,1,7,256,0.0029395969286932,146
8,LSTM_AA,1259.781005859375,937.1156616210938,0.4292672872543335,120,1,14,64,0.0001474899940163,177
9,LSTM_AA,640.8928833007812,530.6072387695312,0.8522887825965881,148,1,14,128,0.003970944696396,147
10,LSTM_AA,971.809326171875,748.9695434570312,0.660370945930481,271,2,14,128,0.000779816891385,13
11,LSTM_AA,2025.8720703125,1640.4873046875,-0.471893310546875,83,2,7,128,0.0118754014545429,91
